direction,stop_seq,hour,board_prior,alight_prior,load_prior
0,1,5,16.450589709258505,0.0,16.450589709258505
0,1,6,40.58760052948331,0.0,40.58760052948331
0,1,7,42.292705317747554,0.0,42.292705317747554
0,1,8,44.19797169739414,0.0,44.19797169739414
0,1,9,22.44761069093669,0.0,22.44761069093669
0,1,10,24.656435634826348,0.0,24.656435634826348
0,1,11,21.11608491645389,0.0,21.11608491645389
0,1,12,22.59111412877418,0.0,22.59111412877418
0,1,13,21.026555827432826,0.0,21.026555827432826
0,1,14,20.641826814666018,0.0,20.641826814666018
0,1,15,25.712094101973175,0.0,25.712094101973175
0,1,16,32.592994584665384,0.0,32.592994584665384
0,1,17,27.971487339290636,0.0,27.971487339290636
0,1,18,27.284687575753036,0.0,27.284687575753036
0,1,19,27.667186555416773,0.0,27.667186555416773
0,1,20,15.905572395248575,0.0,15.905572395248575
0,1,21,18.203207010182005,0.0,18.203207010182005
0,2,5,13.177847867952671,0.6335142163181691,28.99492336089301
0,2,6,21.639375668046025,2.1144899658287857,60.11248623170055
0,2,7,20.91411524830786,1.4153637027422616,61.79145686331315
0,2,8,18.63499915767866,2.6194417516996227,60.21352910337318
0,2,9,18.20677699058052,0.9032939233678059,39.7510937581494
0,2,10,18.75431253173164,1.1387273296559637,42.27202083690202
0,2,11,15.18588907151735,0.8173603585006622,35.48461362947058
0,2,12,14.818254496806851,1.0844568136927568,36.32491181188828
0,2,13,17.027632366184726,0.9938595329484518,37.0603286606691
0,2,14,16.427885106411203,1.3292952782973246,35.7404166427799
0,2,15,19.634310812307998,1.038174302005942,44.30823061227523
0,2,16,21.126988695455484,1.379541684044726,52.34044159607614
0,2,17,16.34740219728838,1.2159013550509172,43.1029881815281
0,2,18,17.42091331155602,1.5766869039742086,43.12891398333485
0,2,19,17.63056510720325,1.1383222438747924,44.159429418745226
0,2,20,11.770523137978673,0.605924969283666,27.07017056394358
0,2,21,13.280490809000492,0.8890294907586016,30.594668328423896
0,3,5,9.488563766511554,0.808274351362392,37.67521277604217
0,3,6,6.151375232339396,2.1143133733914286,64.14954809064851
0,3,7,4.677773415747843,1.825643772912679,64.64358650614831
0,3,8,5.1094188373828855,1.8867424088075253,63.43620553194854
0,3,9,15.9194184449559,1.3223488129112582,54.34816339019404
0,3,10,14.934253984540149,1.5147479815756426,55.691526839866526
0,3,11,12.518770139983213,1.3390238643978096,46.66435990505598
0,3,12,13.620063100710354,0.7652229452082177,49.17975196739041
0,3,13,13.508540942746627,0.8797631016287837,49.689106501786945
0,3,14,13.34748462693077,1.1889805826244748,47.89892068708619
0,3,15,13.261189954169476,1.2764725314518777,56.29294803499283
0,3,16,10.542022924840811,1.7922811313341398,61.09018338958281
0,3,17,7.009302455435808,1.3025023243489098,48.80978831261499
0,3,18,7.266093699653168,1.5177081873678109,48.87729949562021
0,3,19,8.439886365855276,1.7366120053499208,50.86270377925058
0,3,20,8.832400346039538,0.8196950922208323,35.08287581776229
0,3,21,7.976011164218281,0.4824641948914023,38.08821529775077
0,4,5,14.789131612569117,1.428132485609698,51.03621190300159
0,4,6,6.881275703413369,4.474202920473567,66.55662087358832
0,4,7,5.842558035692417,4.078923394199026,66.4072211476417
0,4,8,6.724913576162062,3.961686752157275,66.19943235595332
0,4,9,15.260527638685089,2.1123085613624273,67.49638246751671
0,4,10,13.934801230600565,2.8208573076797077,66.80547076278738
0,4,11,19.228189284689467,2.296173428717052,63.596375761028405
0,4,12,18.90148030405808,2.0468098572180184,66.03442241423046
0,4,13,18.61556472342252,2.250953577260593,66.05371764794887
0,4,14,19.78174259970518,2.0129033692731895,65.66775991751818
0,4,15,19.065299128798753,1.9787283226621832,73.3795188411294
0,4,16,15.19673227399823,3.254946809394957,73.03196885418609
0,4,17,11.494112316573291,2.7507595148851056,57.55314111430318
0,4,18,10.569730468377967,2.8554526466054484,56.591577317392726
0,4,19,10.665456052023474,2.7431861539086095,58.78497367736545
0,4,20,14.867388001876023,1.513256292088604,48.4370075275497
0,4,21,14.28152896903262,1.793153418157604,50.57659084862579
0,5,5,11.476927467627705,2.0331268077584936,60.4800125628708
0,5,6,8.188242788036662,5.8765137658879185,68.86834989573707
0,5,7,7.458207928872032,5.383428545846665,68.48200053066707
0,5,8,7.156027632307436,5.658220607235862,67.6972393810249
0,5,9,6.317033914530845,3.1365506483911427,70.67686573365641
0,5,10,6.429769433878525,2.3159256937685457,70.91931450289736
0,5,11,12.75041575006558,2.2766890457231614,74.07010246537082
0,5,12,11.15383059920598,2.2342061613572124,74.95404685207923
0,5,13,9.745501903775725,2.4980289110149063,73.30119064070969
