direction,stop_seq,arr_time,dep_time,dwell_s,load_after,cap,forecast
0,1,05:00:00,05:00:29,29,14,80,17
0,2,05:03:46,05:04:15,29,28,80,29
0,3,05:07:30,05:07:51,21,39,80,38
0,4,05:11:14,05:11:42,28,52,80,53
0,5,05:15:13,05:15:41,28,65,80,59
0,6,05:19:31,05:20:16,45,73,80,67
0,7,05:24:02,05:24:22,20,78,80,72
0,8,05:27:42,05:28:04,22,79,80,73
0,1,05:30:00,05:30:45,45,13,80,19
0,9,05:31:21,05:32:02,41,75,80,76
0,2,05:34:34,05:35:06,32,23,80,29
0,10,05:35:04,05:35:53,49,72,80,72
0,3,05:38:08,05:38:39,31,29,80,40
0,11,05:39:28,05:40:12,44,69,80,67
0,4,05:41:49,05:42:34,45,40,80,52
0,12,05:43:16,05:44:03,47,75,80,63
0,5,05:46:19,05:46:43,24,48,80,65
0,13,05:47:45,05:48:10,25,72,80,62
0,6,05:50:27,05:51:04,37,52,80,71
0,14,05:52:02,05:52:50,48,71,80,61
0,7,05:54:19,05:54:40,21,57,80,69
0,15,05:55:56,05:56:26,30,68,80,58
0,8,05:57:52,05:58:29,37,63,80,70
0,1,06:00:00,06:00:39,39,54,80,48
0,16,06:00:24,06:01:03,39,59,80,43
0,9,06:02:06,06:02:50,44,73,80,73
0,17,06:05:12,06:05:53,41,62,80,48
0,2,06:05:35,06:06:05,30,77,80,68
0,10,06:07:27,06:08:19,52,55,80,53
0,18,06:10:01,06:10:23,22,68,80,53
0,3,06:10:22,06:10:43,21,80,80,74
0,11,06:12:35,06:13:43,68,30,80,38
0,4,06:15:00,06:15:23,23,74,80,69
0,19,06:15:01,06:15:39,38,64,80,58
0,12,06:18:40,06:19:45,65,25,80,22
0,20,06:19:56,06:20:35,39,70,80,64
0,5,06:19:59,06:20:28,29,70,80,70
0,13,06:24:20,06:25:20,60,16,80,20
0,6,06:24:59,06:25:29,30,74,80,71
0,21,06:25:33,06:26:12,39,56,80,59
0,7,06:29:43,06:30:12,29,73,80,71
0,1,06:30:00,06:30:21,21,47,80,59
0,14,06:30:16,06:31:13,57,20,80,26
0,22,06:31:00,06:31:35,35,60,80,59
0,2,06:34:28,06:34:58,30,77,80,66
0,8,06:34:49,06:35:24,35,72,80,71
0,23,06:35:42,06:36:17,35,58,80,62
0,15,06:36:03,06:37:08,65,12,80,19
0,3,06:39:48,06:40:13,25,73,80,75
0,9,06:39:48,06:40:19,31,69,80,70
0,16,06:41:18,06:41:58,40,15,80,55
0,10,06:44:33,06:45:44,71,55,80,55
0,4,06:45:07,06:45:31,24,74,80,70
0,17,06:46:03,06:46:40,37,19,80,58
0,5,06:50:23,06:50:59,36,71,80,70
0,11,06:50:42,06:51:33,51,36,80,28
0,18,06:51:19,06:51:41,22,38,80,62
0,6,06:55:18,06:55:59,41,74,80,72
0,19,06:56:09,06:56:53,44,41,80,59
0,12,06:56:15,06:57:14,59,19,80,25
0,1,07:00:00,07:00:45,45,45,80,52
0,7,07:00:45,07:01:12,27,73,80,71
0,20,07:01:02,07:01:47,45,57,80,61
0,13,07:01:37,07:02:48,71,24,80,21
0,2,07:05:04,07:05:42,38,80,80,69
0,8,07:05:39,07:05:59,20,75,80,72
0,21,07:06:17,07:06:49,32,62,80,54
0,14,07:07:33,07:08:31,58,19,80,22
0,3,07:10:16,07:10:38,22,77,80,75
0,9,07:10:43,07:11:20,37,74,80,72
0,22,07:11:08,07:11:48,40,65,80,58
0,15,07:13:12,07:14:23,71,15,80,22
0,4,07:14:43,07:15:15,32,76,80,69
0,23,07:15:51,07:16:28,37,67,80,59
0,10,07:15:56,07:16:51,55,48,80,55
0,16,07:18:49,07:19:26,37,19,80,24
0,5,07:20:00,07:20:24,24,75,80,69
0,11,07:21:46,07:22:45,59,28,80,36
0,17,07:24:04,07:24:25,21,27,80,27
0,6,07:25:11,07:25:44,33,70,80,70
0,12,07:27:08,07:28:23,75,20,80,21
0,18,07:29:06,07:29:34,28,40,80,47
0,1,07:30:00,07:30:28,28,62,80,50
0,7,07:30:24,07:30:59,35,73,80,72
0,13,07:33:03,07:34:07,64,17,80,26
0,19,07:33:40,07:34:01,21,49,80,56
0,2,07:34:44,07:35:29,45,79,80,65
0,8,07:35:06,07:35:28,22,73,80,73
0,14,07:38:28,07:39:29,61,31,80,35
0,20,07:38:33,07:39:00,27,60,80,56
0,3,07:39:31,07:39:55,24,78,80,69
0,9,07:39:49,07:40:21,32,68,80,73
0,21,07:43:24,07:44:01,37,59,80,57
0,15,07:43:36,07:44:45,69,22,80,30
0,4,07:44:51,07:45:34,43,77,80,76
0,10,07:44:54,07:46:00,66,47,80,45
0,22,07:48:53,07:49:14,21,61,80,61
0,16,07:49:13,07:49:46,33,27,80,30
0,5,07:50:17,07:50:38,21,74,80,75
0,11,07:50:39,07:51:41,62,14,80,25
0,17,07:54:01,07:54:39,38,34,80,25
0,23,07:54:13,07:54:45,32,61,80,65
0,6,07:55:05,07:55:48,43,66,80,71
0,12,07:56:12,07:57:09,57,16,80,32
0,18,07:58:39,07:59:14,35,47,80,40
0,1,08:00:00,08:00:26,26,68,80,56
0,7,08:00:29,08:01:09,40,71,80,70
0,13,08:01:25,08:02:40,75,18,80,22
0,19,08:04:00,08:04:20,20,52,80,56
0,2,08:04:27,08:04:52,25,78,80,68
0,8,08:05:31,08:05:51,20,77,80,71
0,14,08:07:05,08:08:06,61,16,80,24
0,20,08:08:51,08:09:11,20,67,80,63
0,3,08:09:35,08:09:56,21,79,80,73
0,9,08:10:35,08:11:12,37,68,80,72
0,15,08:12:58,08:13:51,53,18,80,25
0,21,08:13:24,08:13:55,31,53,80,58
0,4,08:14:01,08:14:24,23,77,80,69
0,10,08:15:29,08:16:20,51,57,80,54
0,22,08:18:02,08:18:37,35,48,80,59
0,16,08:18:15,08:18:58,43,17,80,25
0,5,08:19:03,08:19:41,38,71,80,69
0,11,08:20:52,08:22:02,70,45,80,42
0,17,08:23:14,08:23:58,44,39,80,36
0,23,08:23:18,08:23:49,31,48,80,63
0,6,08:23:56,08:24:17,21,72,80,68
0,12,08:26:27,08:27:24,57,31,80,27
0,7,08:28:46,08:29:31,45,69,80,70
0,18,08:28:52,08:29:22,30,46,80,45
0,1,08:30:00,08:30:35,35,42,80,70
0,13,08:31:43,08:32:39,56,24,80,33
0,8,08:34:00,08:34:29,29,67,80,76
0,19,08:34:05,08:34:37,32,60,80,47
0,2,08:35:03,08:35:34,31,74,80,70
0,14,08:36:52,08:37:42,50,30,80,34
0,9,08:38:52,08:39:30,38,73,80,69
0,20,08:39:36,08:39:56,20,65,80,62
0,3,08:39:37,08:40:03,26,78,80,71
0,15,08:41:46,08:42:49,63,19,80,33
0,21,08:43:57,08:44:38,41,57,80,48
0,10,08:44:11,08:45:03,52,41,80,56
0,4,08:44:12,08:44:50,38,75,80,72
0,16,08:46:55,08:47:33,38,29,80,32
0,5,08:48:53,08:49:35,42,75,80,72
0,22,08:49:33,08:50:15,42,49,80,43
0,11,08:49:54,08:50:48,54,25,80,36
0,17,08:52:33,08:53:01,28,34,80,32
0,6,08:54:14,08:54:43,29,74,80,70
0,23,08:54:53,08:55:17,24,52,80,45
0,12,08:55:14,08:56:29,75,14,80,24
0,18,08:57:55,08:58:15,20,40,80,42
0,7,08:58:53,08:59:19,26,67,80,69
0,1,09:00:00,09:00:35,35,25,80,26
0,13,09:00:42,09:01:27,45,20,80,42
0,19,09:03:04,09:03:31,27,45,80,50
0,8,09:03:24,09:03:50,26,75,80,75
0,2,09:04:32,09:05:14,42,36,80,43
0,14,09:04:35,09:05:14,39,22,80,43
0,20,09:07:18,09:07:38,20,47,80,57
0,9,09:07:43,09:08:03,20,74,80,76
0,3,09:08:29,09:09:06,37,51,80,50
0,15,09:08:35,09:09:11,36,20,80,38
0,21,09:10:54,09:11:17,23,55,80,57
0,10,09:11:26,09:12:01,35,73,80,66
0,16,09:12:26,09:13:06,40,20,80,39
0,4,09:12:40,09:13:20,40,79,80,73
0,22,09:14:26,09:14:51,25,56,80,56
0,11,09:15:38,09:16:13,35,63,80,60
0,17,09:16:13,09:16:52,39,23,80,44
0,5,09:17:03,09:17:23,20,75,80,73
0,23,09:17:57,09:18:38,41,56,80,57
0,12,09:19:46,09:20:14,28,51,80,55
0,18,09:20:20,09:20:57,37,28,80,49
0,6,09:21:06,09:21:29,23,75,80,74
0,13,09:23:50,09:24:35,45,48,80,38
0,7,09:24:32,09:25:05,33,76,80,75
0,19,09:24:40,09:25:20,40,31,80,42
0,14,09:27:55,09:28:23,28,44,80,40
0,8,09:28:29,09:28:52,23,78,80,75
0,20,09:29:01,09:29:24,23,34,80,44
0,1,09:30:00,09:30:36,36,23,80,28
