trip_date,direction,stop_seq,stop_name,arr_time_wib,dep_time_wib,dwell_s,board,alight,load_before,load_after,cap,stop_idx,hour,dow,is_weekend,direction_num,prev_load,load_prior,board_prior,alight_prior,forecast
2025-08-01,BlokM→Kota,1,Blok M,2025-08-01T05:00:00+07:07,2025-08-01T05:00:29+07:07,29,19,0,0,19,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,2,ASEAN,2025-08-01T05:03:35.933753+07:07,2025-08-01T05:04:12.933753+07:07,37,19,1,19,37,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,3,Kejaksaan Agung,2025-08-01T05:07:48.648090+07:07,2025-08-01T05:08:20.648090+07:07,32,9,0,37,46,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,4,Masjid Agunng,2025-08-01T05:11:59.490669+07:07,2025-08-01T05:12:30.490669+07:07,31,12,2,46,56,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,5,Bundaran Senayan,2025-08-01T05:15:34.106580+07:07,2025-08-01T05:16:04.106580+07:07,30,16,2,56,70,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,6,Gelora Bung Karno,2025-08-01T05:19:52.363500+07:07,2025-08-01T05:20:35.363500+07:07,43,10,4,70,76,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,7,Polda Metro Jaya,2025-08-01T05:23:57.925693+07:07,2025-08-01T05:24:36.925693+07:07,39,4,0,76,80,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,8,Bendungan Hilir,2025-08-01T05:27:53.171837+07:07,2025-08-01T05:28:32.171837+07:07,39,0,3,80,77,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,9,Karet,2025-08-01T05:32:30.927929+07:07,2025-08-01T05:33:09.927929+07:07,39,3,3,77,77,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,10,Dukuh Atas 1,2025-08-01T05:36:18.942672+07:07,2025-08-01T05:36:44.942672+07:07,26,3,5,77,75,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,11,Tosari,2025-08-01T05:40:12.590051+07:07,2025-08-01T05:40:39.590051+07:07,27,5,17,75,63,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,12,Bundaran HI ASTRA,2025-08-01T05:44:30.001687+07:07,2025-08-01T05:44:59.001687+07:07,29,11,8,63,66,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,13,M.H Thamrin,2025-08-01T05:48:39.362935+07:07,2025-08-01T05:49:24.362935+07:07,45,5,3,66,68,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,14,Kebon Sirih,2025-08-01T05:53:03.652248+07:07,2025-08-01T05:53:39.652248+07:07,36,4,2,68,70,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,15,Monumen Nasional,2025-08-01T05:56:46.853475+07:07,2025-08-01T05:57:33.853475+07:07,47,7,6,70,71,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,16,Harmoni,2025-08-01T06:00:42.812714+07:07,2025-08-01T06:01:27.812714+07:07,45,9,21,71,59,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,17,Sawah Besar,2025-08-01T06:05:55.986837+07:07,2025-08-01T06:06:21.986837+07:07,26,21,12,59,68,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,18,Mangga Besar,2025-08-01T06:11:15.621308+07:07,2025-08-01T06:11:44.621308+07:07,29,12,10,68,70,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,19,Taman Sari,2025-08-01T06:16:35.520586+07:07,2025-08-01T06:16:56.520586+07:07,21,10,12,70,68,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,20,Glodok,2025-08-01T06:21:19.500866+07:07,2025-08-01T06:21:54.500866+07:07,35,12,12,68,68,80,0,0,0,0,0,0,0,0,0,12
2025-08-01,BlokM→Kota,21,Kota,2025-08-01T06:26:49.056514+07:07,2025-08-01T06:27:27.056514+07:07,38,12,27,68,53,80,0,0,0,0,0,0,0,0,0,12
